# Wavenumber/cm**-1  Wavelength/nm        FC               HT              FCHT
   0.10935000E+05   0.91449607E+03   0.31917193E-05   0.12781204E-04   0.15972923E-04
   0.10940000E+05   0.91407811E+03   0.31945231E-05   0.12787944E-04   0.15982467E-04
   0.10945000E+05   0.91366054E+03   0.31973289E-05   0.12794685E-04   0.15992014E-04
   0.10950000E+05   0.91324334E+03   0.32001368E-05   0.12801428E-04   0.16001565E-04
   0.10955000E+05   0.91282652E+03   0.32029467E-05   0.12808173E-04   0.16011119E-04
   0.10960000E+05   0.91241009E+03   0.32057588E-05   0.12814918E-04   0.16020677E-04
   0.10965000E+05   0.91199403E+03   0.32085729E-05   0.12821666E-04   0.16030238E-04
   0.10970000E+05   0.91157836E+03   0.32113892E-05   0.12828414E-04   0.16039803E-04
   0.10975000E+05   0.91116306E+03   0.32142075E-05   0.12835164E-04   0.16049371E-04
   0.10980000E+05   0.91074814E+03   0.32170279E-05   0.12841915E-04   0.16058943E-04
   0.10985000E+05   0.91033360E+03   0.32198505E-05   0.12848668E-04   0.16068518E-04
   0.10990000E+05   0.90991943E+03   0.32226751E-05   0.12855421E-04   0.16078097E-04
   0.10995000E+05   0.90950565E+03   0.32255018E-05   0.12862177E-04   0.16087679E-04
   0.11000000E+05   0.90909223E+03   0.32283306E-05   0.12868933E-04   0.16097264E-04
   0.11005000E+05   0.90867920E+03   0.32311616E-05   0.12875692E-04   0.16106853E-04
   0.11010000E+05   0.90826654E+03   0.32339946E-05   0.12882451E-04   0.16116446E-04
   0.11015000E+05   0.90785425E+03   0.32368297E-05   0.12889212E-04   0.16126042E-04
   0.11020000E+05   0.90744234E+03   0.32396670E-05   0.12895974E-04   0.16135641E-04
   0.11025000E+05   0.90703080E+03   0.32425064E-05   0.12902738E-04   0.16145244E-04
   0.11030000E+05   0.90661963E+03   0.32453478E-05   0.12909503E-04   0.16154850E-04
   0.11035000E+05   0.90620884E+03   0.32481914E-05   0.12916269E-04   0.16164460E-04
   0.11040000E+05   0.90579842E+03   0.32510372E-05   0.12923037E-04   0.16174074E-04
